1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,Labels
0,0,29.73946,5.175722,0.012852,0,0,0,0.418548,0.634693,0,0.305758,0,0.107147,0,0,0,0.392396,0,0,0.615635,0.054037,0.187657,1.085832,0.261885,0.000658,0.155888,0,0.542065,0,0.604518,0.149118,0,0.739634,0,0,0,0.548424,0,0.519699,0,0.349301,0,0,0,0,0,0.268641,0.92573,0,0,0.201821,0.204113,0,0,0,0.166857,0,1.156199,0,0,0,0.124678,0,0,0,0.384629,0,0.373137,0.038048,0.207122,0,0.020944,0,3.251584,0,0,0.737652,0.740398,9.405272,0,0,0,2.028953,7.406959,0,0,0,1.578752,0,0,0,0,0,0.285337,0,0,0,0,0.273233,0,0,0,0.367597,0,0.161976,0.0145,0.205908,0.115101,0,0.475121,0,0.511154,0,0.279655,0.190205,0.072994,0,0,0.887059,0.831825,0.980317,0.046183,0,0.243849,0,0.783354,0,0.034031,1.728775,0,0,0,0
0,0,0,38.29488,3.397854,0,0.110048,0.520988,0,2.450949,0,0,0.50264,0.594063,0.578589,0,0,0,0.160275,0.837103,1.193029,0,0.495664,0.848135,0,0.04952,0.326908,0,0,0,0,0.11312,1.229118,0,0,0.4881,2.819689,0,0,0.011147,0.217641,1.196276,0,0,0,0,1.969482,1.181684,0,0.4917,0,0,0,0,4.065756,0,0,0,1.090855,0,0,0,4.284839,0,0,0,0,1.308042,0,0,0,0,1.091818,0.123549,0,0,3.586884,3.006015,0,0,0,11.92164,0,0,0,0,0,2.43853,0,0,2.199633,0,0,0,0,0,0.388563,1.01618,0,0.981567,0,5.306522,0,0,0.14588,1.162087,0,0,0.144907,0,0,1.196361,0,2.458318,0.024628,0,0,0,0.23099,0,0,1.750238,0,0,0,0.220963,0.991468,0,0,0,0.573255,0,2.202893,1
0,0,0,0,48.04553,0,0.369726,0.121016,0,0,0,0,0,0.262158,0,3.222035,0,0,0,0,0,0.190399,0,0,0.520674,1.745774,0.551992,0,0,0,0.160312,5.05181,0,0,0,0,0,0.739215,0.125256,1.488348,0,0,0,1.287784,0,6.282751,0,0,0,0,1.211807,0,0,0,0.719476,1.005936,0,0.206558,0.131641,0.863529,0,0,0.503274,0,0.685228,0,0,0,0.056213,0,0.582361,0.798533,0,0,0,2.220956,0,0,1.818208,4.454487,0.668973,0,0.224705,0.986914,0,0,0,0,0.746202,0,0,0.15908,2.17699,0,0,0,0,1.154865,0,0,4.879974,0,0,0,0.127584,0,0.4452,0,0.446762,0.64128,0,0,0,0.094873,0,0.44961,0,0.549806,1.41297,1.688764,0,0,0,0.929019,0,1.933937,2.581083,0,0,0,0,0,0,1
0,0,0,0,0,34.28311,0.080521,0,0,0,0,0,0.575777,1.468582,1.142792,0,0,0,1.301789,0.893618,0.066158,0,0.407238,5.419551,0,0,3.684216,0,0,0,0,1.160906,0,0,0,1.261902,1.077446,0,0.207098,0,0.043129,2.567934,0,0,0,1.337187,0,1.98231,1.383299,0,0,0,2.285654,0,1.713552,5.321491,0,0,0.579128,0,1.596214,0,0.497229,0,0.788362,0,4.47382,0,0,0,0.597756,0.033684,0,0.835371,3.440125,0,0,0,4.076077,0,0.031358,4.1147,0,2.013115,0,0.205747,0,1.87216,0,0.424111,0.530121,1.095552,0,0.314933,0,0,1.681265,0,0,0,0.732765,0,0.457414,4.195656,0,0,0,0.827353,0,0.223376,2.652826,0,6.610591,0,0,0,0,0.148722,0,1.012512,0,0.498681,0,9.800961,0,0,2.531786,0,0,0,0.769544,0,0.898731,1
0,0,49.88633,0,0.365593,0.297489,0,0.876315,0,0.543861,0,0,0.467694,9.004159,0,0,0,0,0,0,0,0,0,0.125096,0.629417,4.926583,0,0,0,0,0,0.138625,0,0,0,0,0.808534,0.472395,0,0,0,4.701069,1.815193,0,0,0,0,0,0.312361,0,0.159463,0,0.328966,0.09085,0,4.814868,0.018781,1.246992,0,0,1.120616,0,0,0,0,0,0,0.730303,0.062547,0,0,0.368282,0,1.173033,2.605243,0,0,0,0,1.060877,0,0,0,0.89008,0.075243,1.408235,0,0,0,0,0.688714,0.226336,0,0.097217,0.053491,0,1.207395,4.513516,0,0,0,4.84195,14.60084,0,0,0,0,0,0,0,0,0,0,0.025122,0.156714,0,0.194618,0.090384,0,0.303534,0.005861,1.777591,2.235969,1.017279,0,0,0,0.249361,0,0,0,0,0.631722,1
0,0,0,37.42708,3.265719,0.041927,0,0.735211,0,0.276311,0,0,0,0,0,0.536665,3.859688,0,0,0.06763,0.579414,0,0.228736,0.750866,0.45328,2.155965,0,0,0,0,0,0,0,0,0,1.72062,3.238419,0,0,0,0.187492,0,0,0,0.158234,0.026592,0.108004,0.343429,0.311811,0.184018,0,0,1.983614,0,0,0,1.767708,0,0,0.002231,0,0,0.212864,0,0.869298,5.516789,0.583636,0,0,0.347357,0,0,0,0,0,0,0,0,0,0.109388,0,0,0.596805,1.814143,0,0,0.324465,0.157244,0.190791,0,1.341042,0,0,0,0,0,0,2.143272,0,0,0,0,0,0,0.690833,0,0,0,0.013617,0.561829,0,0.161852,0,0.299232,0.545227,0,0,0,0.565438,0.567447,0.811119,0,0,0,0,0.185694,5.165596,1.083479,0,0,0,0,0,1
0,0,0,45.32537,2.016041,0,0,0,0,0,0,0.593318,0,0.199413,0,0,1.524906,0,0,0.364124,0,3.024249,5.403371,0,0,0,0,0.108789,0.399845,0,0.552001,0.128437,0.324852,0.270603,0.256434,0,0,0,0,0,0,0,0,0.074596,1.010628,0,0,0,0,0,0,0.12796,0,0,0,0.435671,0,0,0.020962,0,0.412216,3.483077,1.841837,0.468057,0,0,0.869643,0,0,0,0,0,0,0,2.450641,0,0.655103,0,0.056871,0,0,0,0,0.157791,0,0.079336,0,0.066807,0.350898,1.488454,0,0,0.268221,0,0.779016,0.429755,0,0,0.712246,0.580757,0,0.376543,0,0,0,0.786525,2.590965,0.132063,0,0,0.326791,0,1.307104,0.285606,0,0,0,0,0.230528,0,0,0.904795,0.295784,0,0,0,0,0.101316,1.131369,0.393669,1.374473,0,0,1
17.62361,16.08558,0,0,0,0,0.058691,0,1.788596,0.988807,0,0,0,0,0,0.005506,0.840481,2.476216,0,0,0,0,0.930035,0.473951,0,0,0,0,0.519823,0,0,4.080782,0,0,0,0,0,0,2.27183,1.335267,0,0,0,0,0,0,0.188608,0,0,0,0.030254,0,0,0.026945,0.711453,2.073833,0,0,0.000646,0.15657,0,4.480856,0.383391,0,0,0,3.887293,0.259871,0,0,0,2.8963,0,0,0,0.455357,0,0,0.145807,2.978174,0,0,0.571039,0,0,0,0,0,0.377358,0,7.356993,4.108027,0.889587,0,0,5.914547,0,0,0,0.381683,0,0,0,0,0,0,0,0.216764,0,0.536058,0.588344,0,0,0,1.971561,1.070644,0.921112,0,1.95198,0,0,0,0,0,0,0,0,0.19193,2.405664,0,0,0,0,1
0,0,0,43.81899,0,1.467113,0.191587,0,0,0,0.115968,0,0,1.283999,0.47541,0,0,0,0.191724,1.649269,0,0,8.705421,0,0,0,0,0,0,0,0,0,0,0.144093,0,0,0.2931,0.352711,1.034883,0,0,0,0.026548,0,0.010508,0,0.960428,0.73084,1.40826,0,1.601488,0,0,0,0,0,1.966178,0,0,0,0.88446,4.427157,0,0,0,0,0,0,0,0.15509,1.459302,0,0,0,0.015814,0,0,0,0.062147,0.945076,2.519515,0,0,0,0,0,0,0,0.476522,0.148499,0,0,0.551913,0.099601,0,0.409193,0.175277,2.165609,0.064818,0,1.884593,0,0.13445,0.537886,0,0,0,0.944857,3.189743,0,0,1.272493,0,1.329323,0,1.63736,0,5.340128,0.487602,0,0,0,0,0,0,0,0,0.248257,0.364668,0.426382,0.275059,0.336171,0,1
0,0,35.02646,2.434578,0,0.967814,0.327388,0,4.446295,0,0,0,0,0,1.183233,3.433567,0,0,0,0.786019,0.324102,4.191587,0.163128,0,0,0,0.322109,0,0,0,0.084766,0,0.063303,0,0.063808,0.4214,0,0,3.100206,0.766526,0.578251,0,0,0,0,0,0.718802,0,0,0,0,0,0.528905,2.150559,0,3.494569,3.454006,1.540088,0,0,0,0,0,0,0,0.144697,0.266583,0,0,0.173371,0.587446,9.700895,0.357158,0,0,0,0,0,0,1.890845,0,0,0,5.113906,0,0,0,0,0,0,0,0,0.744522,0,0,0,0,0,4.468932,0,0.101208,3.450039,0,0,0.128746,0,0,0,1.874933,0.419269,0,0,2.21907,1.219395,0.035295,0,0,2.434857,0.737389,0,0,0.236844,0.630356,0,0.644975,0.86989,0.254209,0.085102,1.523165,1.000958,0,1.576235,0.674127,1
